Task,Function
Retrieve the item Mug_1,PickupObject(Mug_1)
Retrieve the item Mug_2,PickupObject(Mug_2)
Retrieve the item Newspaper_0,PickupObject(Newspaper_0)
Retrieve the item Newspaper_1,PickupObject(Newspaper_1)
Retrieve the item Newspaper_2,PickupObject(Newspaper_2)
Retrieve the item Pan_0,PickupObject(Pan_0)
Retrieve the item Pan_1,PickupObject(Pan_1)
Retrieve the item Pan_2,PickupObject(Pan_2)
Retrieve the item PaperTowel_0,PickupObject(PaperTowel_0)
Retrieve the item PaperTowel_1,PickupObject(PaperTowel_1)
Retrieve the item PaperTowel_2,PickupObject(PaperTowel_2)
Retrieve the item Pen_0,PickupObject(Pen_0)
Retrieve the item Pen_1,PickupObject(Pen_1)
Retrieve the item Pen_2,PickupObject(Pen_2)
Retrieve the item Pencil_0,PickupObject(Pencil_0)
Retrieve the item Pencil_1,PickupObject(Pencil_1)
Retrieve the item Pencil_2,PickupObject(Pencil_2)
Retrieve the item PepperShaker_0,PickupObject(PepperShaker_0)
Retrieve the item PepperShaker_1,PickupObject(PepperShaker_1)
Retrieve the item PepperShaker_2,PickupObject(PepperShaker_2)
Retrieve the item Pillow_0,PickupObject(Pillow_0)
Retrieve the item Pillow_1,PickupObject(Pillow_1)
Retrieve the item Pillow_2,PickupObject(Pillow_2)
Retrieve the item Plate_0,PickupObject(Plate_0)
Retrieve the item Plate_1,PickupObject(Plate_1)
Retrieve the item Plate_2,PickupObject(Plate_2)
Retrieve the item Plunger_0,PickupObject(Plunger_0)
Retrieve the item Plunger_1,PickupObject(Plunger_1)
Retrieve the item Plunger_2,PickupObject(Plunger_2)
Retrieve the item Pot_0,PickupObject(Pot_0)
Retrieve the item Pot_1,PickupObject(Pot_1)
Retrieve the item Pot_2,PickupObject(Pot_2)
Retrieve the item Potato_0,PickupObject(Potato_0)
Retrieve the item Potato_1,PickupObject(Potato_1)
Retrieve the item Potato_2,PickupObject(Potato_2)
Retrieve the item PotatoSliced_0,PickupObject(PotatoSliced_0)
Retrieve the item PotatoSliced_1,PickupObject(PotatoSliced_1)
Retrieve the item PotatoSliced_2,PickupObject(PotatoSliced_2)
Retrieve the item RemoteControl_0,PickupObject(RemoteControl_0)
Retrieve the item RemoteControl_1,PickupObject(RemoteControl_1)
Retrieve the item RemoteControl_2,PickupObject(RemoteControl_2)
Retrieve the item SaltShaker_0,PickupObject(SaltShaker_0)
Retrieve the item SaltShaker_1,PickupObject(SaltShaker_1)
Retrieve the item SaltShaker_2,PickupObject(SaltShaker_2)
Retrieve the item ScrubBrush_0,PickupObject(ScrubBrush_0)
Retrieve the item ScrubBrush_1,PickupObject(ScrubBrush_1)
Retrieve the item ScrubBrush_2,PickupObject(ScrubBrush_2)
Retrieve the item SoapBar_0,PickupObject(SoapBar_0)
Retrieve the item SoapBar_1,PickupObject(SoapBar_1)
Retrieve the item SoapBar_2,PickupObject(SoapBar_2)
Retrieve the item SoapBottle_0,PickupObject(SoapBottle_0)
Retrieve the item SoapBottle_1,PickupObject(SoapBottle_1)
Retrieve the item SoapBottle_2,PickupObject(SoapBottle_2)
Retrieve the item Spatula_0,PickupObject(Spatula_0)
Retrieve the item Spatula_1,PickupObject(Spatula_1)
Retrieve the item Spatula_2,PickupObject(Spatula_2)
Retrieve the item Spoon_0,PickupObject(Spoon_0)
Retrieve the item Spoon_1,PickupObject(Spoon_1)
Retrieve the item Spoon_2,PickupObject(Spoon_2)
Retrieve the item SprayBottle_0,PickupObject(SprayBottle_0)
Retrieve the item SprayBottle_1,PickupObject(SprayBottle_1)
Retrieve the item SprayBottle_2,PickupObject(SprayBottle_2)
Retrieve the item Statue_0,PickupObject(Statue_0)
Retrieve the item Statue_1,PickupObject(Statue_1)
Retrieve the item Statue_2,PickupObject(Statue_2)
Retrieve the item TeddyBear_0,PickupObject(TeddyBear_0)
Retrieve the item TeddyBear_1,PickupObject(TeddyBear_1)
Retrieve the item TeddyBear_2,PickupObject(TeddyBear_2)
Retrieve the item TennisRacket_0,PickupObject(TennisRacket_0)
Retrieve the item TennisRacket_1,PickupObject(TennisRacket_1)
Retrieve the item TennisRacket_2,PickupObject(TennisRacket_2)
Retrieve the item TissueBox_0,PickupObject(TissueBox_0)
Retrieve the item TissueBox_1,PickupObject(TissueBox_1)
Retrieve the item TissueBox_2,PickupObject(TissueBox_2)
Retrieve the item ToiletPaper_0,PickupObject(ToiletPaper_0)
Retrieve the item ToiletPaper_1,PickupObject(ToiletPaper_1)
Retrieve the item ToiletPaper_2,PickupObject(ToiletPaper_2)
Retrieve the item Tomato_0,PickupObject(Tomato_0)
Retrieve the item Tomato_1,PickupObject(Tomato_1)
Retrieve the item Tomato_2,PickupObject(Tomato_2)
Retrieve the item TomatoSliced_0,PickupObject(TomatoSliced_0)
Retrieve the item TomatoSliced_1,PickupObject(TomatoSliced_1)
Retrieve the item TomatoSliced_2,PickupObject(TomatoSliced_2)
Retrieve the item Towel_0,PickupObject(Towel_0)
Retrieve the item Towel_1,PickupObject(Towel_1)
Retrieve the item Towel_2,PickupObject(Towel_2)
Retrieve the item Vase_0,PickupObject(Vase_0)
Retrieve the item Vase_1,PickupObject(Vase_1)
Retrieve the item Vase_2,PickupObject(Vase_2)
Retrieve the item Watch_0,PickupObject(Watch_0)
Retrieve the item Watch_1,PickupObject(Watch_1)
Retrieve the item Watch_2,PickupObject(Watch_2)
Retrieve the item WateringCan_0,PickupObject(WateringCan_0)
Retrieve the item WateringCan_1,PickupObject(WateringCan_1)
Retrieve the item WateringCan_2,PickupObject(WateringCan_2)
Retrieve the item WineBottle_0,PickupObject(WineBottle_0)
Retrieve the item WineBottle_1,PickupObject(WineBottle_1)
Retrieve the item WineBottle_2,PickupObject(WineBottle_2)
Grasp object AlarmClock_0,PickupObject(AlarmClock_0)
Grasp object AlarmClock_1,PickupObject(AlarmClock_1)
Grasp object AlarmClock_2,PickupObject(AlarmClock_2)
Grasp object Apple_0,PickupObject(Apple_0)
Grasp object Apple_1,PickupObject(Apple_1)
Grasp object Apple_2,PickupObject(Apple_2)
Grasp object AppleSliced_0,PickupObject(AppleSliced_0)
Grasp object AppleSliced_1,PickupObject(AppleSliced_1)
Grasp object AppleSliced_2,PickupObject(AppleSliced_2)
Grasp object BaseballBat_0,PickupObject(BaseballBat_0)
Grasp object BaseballBat_1,PickupObject(BaseballBat_1)
Grasp object BaseballBat_2,PickupObject(BaseballBat_2)
Grasp object BasketBall_0,PickupObject(BasketBall_0)
Grasp object BasketBall_1,PickupObject(BasketBall_1)
Grasp object BasketBall_2,PickupObject(BasketBall_2)
Grasp object Book_0,PickupObject(Book_0)
Grasp object Book_1,PickupObject(Book_1)
Grasp object Book_2,PickupObject(Book_2)
Grasp object Boots_0,PickupObject(Boots_0)
Grasp object Boots_1,PickupObject(Boots_1)
Grasp object Boots_2,PickupObject(Boots_2)
Grasp object Bottle_0,PickupObject(Bottle_0)
Grasp object Bottle_1,PickupObject(Bottle_1)
Grasp object Bottle_2,PickupObject(Bottle_2)
Grasp object Bowl_0,PickupObject(Bowl_0)
Grasp object Bowl_1,PickupObject(Bowl_1)
Grasp object Bowl_2,PickupObject(Bowl_2)
Grasp object Box_0,PickupObject(Box_0)
Grasp object Box_1,PickupObject(Box_1)
Grasp object Box_2,PickupObject(Box_2)
Grasp object Bread_0,PickupObject(Bread_0)
Grasp object Bread_1,PickupObject(Bread_1)
Grasp object Bread_2,PickupObject(Bread_2)
Grasp object BreadSliced_0,PickupObject(BreadSliced_0)
Grasp object BreadSliced_1,PickupObject(BreadSliced_1)
Grasp object BreadSliced_2,PickupObject(BreadSliced_2)
Grasp object ButterKnife_0,PickupObject(ButterKnife_0)
Grasp object ButterKnife_1,PickupObject(ButterKnife_1)
Grasp object ButterKnife_2,PickupObject(ButterKnife_2)
Grasp object Candle_0,PickupObject(Candle_0)
Grasp object Candle_1,PickupObject(Candle_1)
Grasp object Candle_2,PickupObject(Candle_2)
Grasp object CD_0,PickupObject(CD_0)
Grasp object CD_1,PickupObject(CD_1)
Grasp object CD_2,PickupObject(CD_2)
Grasp object CellPhone_0,PickupObject(CellPhone_0)
Grasp object CellPhone_1,PickupObject(CellPhone_1)
Grasp object CellPhone_2,PickupObject(CellPhone_2)
Grasp object Cloth_0,PickupObject(Cloth_0)
Grasp object Cloth_1,PickupObject(Cloth_1)
Grasp object Cloth_2,PickupObject(Cloth_2)
Grasp object CreditCard_0,PickupObject(CreditCard_0)
Grasp object CreditCard_1,PickupObject(CreditCard_1)
Grasp object CreditCard_2,PickupObject(CreditCard_2)
Grasp object Cup_0,PickupObject(Cup_0)
Grasp object Cup_1,PickupObject(Cup_1)
Grasp object Cup_2,PickupObject(Cup_2)
Grasp object DishSponge_0,PickupObject(DishSponge_0)
Grasp object DishSponge_1,PickupObject(DishSponge_1)
Grasp object DishSponge_2,PickupObject(DishSponge_2)
Grasp object Egg_0,PickupObject(Egg_0)
Grasp object Egg_1,PickupObject(Egg_1)
Grasp object Egg_2,PickupObject(Egg_2)
Grasp object EggCracked_0,PickupObject(EggCracked_0)
Grasp object EggCracked_1,PickupObject(EggCracked_1)
Grasp object EggCracked_2,PickupObject(EggCracked_2)
Grasp object Fork_0,PickupObject(Fork_0)
Grasp object Fork_1,PickupObject(Fork_1)
Grasp object Fork_2,PickupObject(Fork_2)
Grasp object HandTowel_0,PickupObject(HandTowel_0)
Grasp object HandTowel_1,PickupObject(HandTowel_1)
Grasp object HandTowel_2,PickupObject(HandTowel_2)
Grasp object Kettle_0,PickupObject(Kettle_0)
Grasp object Kettle_1,PickupObject(Kettle_1)
Grasp object Kettle_2,PickupObject(Kettle_2)
Grasp object KeyChain_0,PickupObject(KeyChain_0)
Grasp object KeyChain_1,PickupObject(KeyChain_1)
Grasp object KeyChain_2,PickupObject(KeyChain_2)
Grasp object Knife_0,PickupObject(Knife_0)
Grasp object Knife_1,PickupObject(Knife_1)
Grasp object Knife_2,PickupObject(Knife_2)
Grasp object Ladle_0,PickupObject(Ladle_0)
Grasp object Ladle_1,PickupObject(Ladle_1)
Grasp object Ladle_2,PickupObject(Ladle_2)
Grasp object Laptop_0,PickupObject(Laptop_0)
Grasp object Laptop_1,PickupObject(Laptop_1)
Grasp object Laptop_2,PickupObject(Laptop_2)
Grasp object Lettuce_0,PickupObject(Lettuce_0)
Grasp object Lettuce_1,PickupObject(Lettuce_1)
Grasp object Lettuce_2,PickupObject(Lettuce_2)
Grasp object LettuceSliced_0,PickupObject(LettuceSliced_0)
Grasp object LettuceSliced_1,PickupObject(LettuceSliced_1)
Grasp object LettuceSliced_2,PickupObject(LettuceSliced_2)
Grasp object Mug_0,PickupObject(Mug_0)
Grasp object Mug_1,PickupObject(Mug_1)
Grasp object Mug_2,PickupObject(Mug_2)
Grasp object Newspaper_0,PickupObject(Newspaper_0)
Grasp object Newspaper_1,PickupObject(Newspaper_1)
Grasp object Newspaper_2,PickupObject(Newspaper_2)
Grasp object Pan_0,PickupObject(Pan_0)
Grasp object Pan_1,PickupObject(Pan_1)
Grasp object Pan_2,PickupObject(Pan_2)
Grasp object PaperTowel_0,PickupObject(PaperTowel_0)
Grasp object PaperTowel_1,PickupObject(PaperTowel_1)
Grasp object PaperTowel_2,PickupObject(PaperTowel_2)
Grasp object Pen_0,PickupObject(Pen_0)
Grasp object Pen_1,PickupObject(Pen_1)
Grasp object Pen_2,PickupObject(Pen_2)
Grasp object Pencil_0,PickupObject(Pencil_0)
Grasp object Pencil_1,PickupObject(Pencil_1)
Grasp object Pencil_2,PickupObject(Pencil_2)
Grasp object PepperShaker_0,PickupObject(PepperShaker_0)
Grasp object PepperShaker_1,PickupObject(PepperShaker_1)
Grasp object PepperShaker_2,PickupObject(PepperShaker_2)
Grasp object Pillow_0,PickupObject(Pillow_0)
Grasp object Pillow_1,PickupObject(Pillow_1)
Grasp object Pillow_2,PickupObject(Pillow_2)
Grasp object Plate_0,PickupObject(Plate_0)
Grasp object Plate_1,PickupObject(Plate_1)
Grasp object Plate_2,PickupObject(Plate_2)
Grasp object Plunger_0,PickupObject(Plunger_0)
Grasp object Plunger_1,PickupObject(Plunger_1)
Grasp object Plunger_2,PickupObject(Plunger_2)
Grasp object Pot_0,PickupObject(Pot_0)
Grasp object Pot_1,PickupObject(Pot_1)
Grasp object Pot_2,PickupObject(Pot_2)
Grasp object Potato_0,PickupObject(Potato_0)
Grasp object Potato_1,PickupObject(Potato_1)
Grasp object Potato_2,PickupObject(Potato_2)
Grasp object PotatoSliced_0,PickupObject(PotatoSliced_0)
Grasp object PotatoSliced_1,PickupObject(PotatoSliced_1)
Grasp object PotatoSliced_2,PickupObject(PotatoSliced_2)
Grasp object RemoteControl_0,PickupObject(RemoteControl_0)
Grasp object RemoteControl_1,PickupObject(RemoteControl_1)
Grasp object RemoteControl_2,PickupObject(RemoteControl_2)
Grasp object SaltShaker_0,PickupObject(SaltShaker_0)
Grasp object SaltShaker_1,PickupObject(SaltShaker_1)
Grasp object SaltShaker_2,PickupObject(SaltShaker_2)
Grasp object ScrubBrush_0,PickupObject(ScrubBrush_0)
Grasp object ScrubBrush_1,PickupObject(ScrubBrush_1)
Grasp object ScrubBrush_2,PickupObject(ScrubBrush_2)
Grasp object SoapBar_0,PickupObject(SoapBar_0)
Grasp object SoapBar_1,PickupObject(SoapBar_1)
Grasp object SoapBar_2,PickupObject(SoapBar_2)
Grasp object SoapBottle_0,PickupObject(SoapBottle_0)
Grasp object SoapBottle_1,PickupObject(SoapBottle_1)
Grasp object SoapBottle_2,PickupObject(SoapBottle_2)
Grasp object Spatula_0,PickupObject(Spatula_0)
Grasp object Spatula_1,PickupObject(Spatula_1)
Grasp object Spatula_2,PickupObject(Spatula_2)
Grasp object Spoon_0,PickupObject(Spoon_0)
Grasp object Spoon_1,PickupObject(Spoon_1)
Grasp object Spoon_2,PickupObject(Spoon_2)
Grasp object SprayBottle_0,PickupObject(SprayBottle_0)
Grasp object SprayBottle_1,PickupObject(SprayBottle_1)
Grasp object SprayBottle_2,PickupObject(SprayBottle_2)
Grasp object Statue_0,PickupObject(Statue_0)
Grasp object Statue_1,PickupObject(Statue_1)
Grasp object Statue_2,PickupObject(Statue_2)
Grasp object TeddyBear_0,PickupObject(TeddyBear_0)
Grasp object TeddyBear_1,PickupObject(TeddyBear_1)
Grasp object TeddyBear_2,PickupObject(TeddyBear_2)
Grasp object TennisRacket_0,PickupObject(TennisRacket_0)
Grasp object TennisRacket_1,PickupObject(TennisRacket_1)
Grasp object TennisRacket_2,PickupObject(TennisRacket_2)
Grasp object TissueBox_0,PickupObject(TissueBox_0)
Grasp object TissueBox_1,PickupObject(TissueBox_1)
Grasp object TissueBox_2,PickupObject(TissueBox_2)
Grasp object ToiletPaper_0,PickupObject(ToiletPaper_0)
Grasp object ToiletPaper_1,PickupObject(ToiletPaper_1)
Grasp object ToiletPaper_2,PickupObject(ToiletPaper_2)
Grasp object Tomato_0,PickupObject(Tomato_0)
Grasp object Tomato_1,PickupObject(Tomato_1)
Grasp object Tomato_2,PickupObject(Tomato_2)
Grasp object TomatoSliced_0,PickupObject(TomatoSliced_0)
Grasp object TomatoSliced_1,PickupObject(TomatoSliced_1)
Grasp object TomatoSliced_2,PickupObject(TomatoSliced_2)
Grasp object Towel_0,PickupObject(Towel_0)
Grasp object Towel_1,PickupObject(Towel_1)
Grasp object Towel_2,PickupObject(Towel_2)
Grasp object Vase_0,PickupObject(Vase_0)
Grasp object Vase_1,PickupObject(Vase_1)
Grasp object Vase_2,PickupObject(Vase_2)
Grasp object Watch_0,PickupObject(Watch_0)
Grasp object Watch_1,PickupObject(Watch_1)
Grasp object Watch_2,PickupObject(Watch_2)
Grasp object WateringCan_0,PickupObject(WateringCan_0)
Grasp object WateringCan_1,PickupObject(WateringCan_1)
Grasp object WateringCan_2,PickupObject(WateringCan_2)
Grasp object WineBottle_0,PickupObject(WineBottle_0)
Grasp object WineBottle_1,PickupObject(WineBottle_1)
Grasp object WineBottle_2,PickupObject(WineBottle_2)
